study_ID,covidence_ID,pub_ID,pub_year,study_type,region,total_no_of_farms,total_positive_farm,health_status,sample_healthy,sample_diseased,pig_type,main_virus,studied_viruses,sampling_approach,sampling,sample_type,sample_feces,sample_serum,sample_tissues,sample_intes,sample_swab,sample_fluid,diag_type,sample_size,vaccination,remarks,sampling_statement,DOI,title,,
S190,615,"Tian et al., 2021",2021,surveillance,Multiple,24,12,diseased,no,yes,multiple,PCV4,PCV4,single,independent,tissues,no,no,yes,no,no,no,molecular,63,NA,NA,Sixty-three clinical tissue samples were collected from diseased pigs ,10.1111/tbed.13714,Molecular detection and phylogenetic analysis of Porcine circovirus 4 in Henan and Shanxi PoRVinces of China,,
S191,542,"Tian et al., 2021",2021,surveillance,Southwest,156,84,diseased,no,yes,piglet,PEDV,PEDV,single,independent,feces_intestines,yes,no,no,yes,no,no,molecular,645,NA,NA,Clinical samples including diarrhea faeces and intestines of dead piglets (assumed composite samples/pig),10.1111/tbed.13953,Molecular characterization of porcine epidemic diarrhea virus associated with outbreaks in southwest China during 2014–2018,,
S198,1269,"Wang et al., 2015",2015,surveillance,East,NA,NA,healthy,yes,no,NA,PRRSV,PRRSV,single,independent,tissues,no,no,yes,no,no,no,molecular,385,unvaccinated,NA,,10.1016/j.meegid.2015.05.006,Novel Nsp2 deletion based on molecular epidemiology and evolution of porcine reproductive and respiratory syndrome virus in Shandong PoRVince from 2013 to 2014,,
S202,1175,"Wang et al., 2016",2016,surveillance,Northeast,72,7,healthy_diseased,yes,yes,multiple,PRRSV,PRRSV,single,independent,serum,no,yes,no,no,no,no,molecular,1237,NA,NA,,10.1111/tbed.12312,"Preliminary Study on Prevalence, Risk Factor and Genetic Homogeneity of Porcine Reproductive and Respiratory Syndrome Virus in Registered Pig Farms in Heilongjiang, China",,
S205,991,"Wang et al., 2018",2018,surveillance,Southwest,NA,NA,diseased,no,yes,NA,PDCoV,PDCoV,single,independent,feces,yes,no,no,no,no,no,molecular,189,NA,NA,189 faecal samples were collected from Tibetan pigs,10.1111/tbed.12819,Detection and genetic characterization of porcine deltacoronavirus in Tibetan pigs surrounding the Qinghai–Tibet Plateau of China,,
S207,1050,"Wang et al., 2017",2017,surveillance,Multiple,31,10,healthy,yes,no,boar,PRRSV,PRRSV,single,independent,serum,no,yes,no,no,no,no,molecular,367,NA,NA,,10.1111/tbed.12594,Sequence and Phylogenetic Analyses of the Nsp2 and ORF5 Genes of Porcine Reproductive and Respiratory Syndrome Virus in Boars from South China in 2015,,
S209,2058,"Wang et al., 2014",2014,surveillance,East,24,24,NA,NA,NA,NA,HEV,HEV,single,independent,serum,no,yes,no,no,no,no,serological_molecular,980,NA,NA,,10.1016/j.vetmic.2014.06.006,"Genetic characterization and serological prevalence of swine hepatitis E virus in Shandong PoRVince, China.",,
S211,2045,"Wen et al., 2021",2021,surveillance,South Central,8,5,diseased,no,yes,NA,PEDV,PEDV,single,independent,feces,yes,no,no,no,no,no,molecular,34,NA,NA,19 feces and 15 fecal swabs were collected from diarrheal pigs,10.1371/journal.pone.0253622,"Genetic characterization and phylogenetic analysis of porcine epidemic diarrhea virus in Guangdong, China, between 2018 and 2019.",,
S213,942,"Wen et al., 2018",2018,surveillance,North,25,25,diseased,no,yes,piglet,PCLV,PCLV,single,independent,serum,no,yes,no,no,no,no,molecular,500,NA,NA,,10.1111/tbed.12896,"Detection of porcine circovirus-like virus P1 in Hebei, China",,
S215,462,"Werid et al., 2022",2022,surveillance,Northeast,22,NA,healthy,yes,no,multiple,Multiple,"PAstV, EMCV, PKoV, SaV",single,independent,feces_rectal_swab,yes,no,no,no,yes,no,molecular,483,NA,NA,483 fresh porcine fecal samples or rectal swabs were collected from apparently healthy pigs (assumed composite samples/pig),10.3390/pathogens11040417,Molecular Detection and Genetic Characterization of Potential Zoonotic Swine Enteric Viruses in Northern China,,
S217,156,"Wu et al., 2024",2024,surveillance,Southwest,63,NA,diseased,no,yes,piglet,Multiple,"PEDV, PCV2",single,independent,tissues,no,no,yes,no,no,no,molecular,352,NA,NA,A total of 352 small intestine samples were gathered from diarrheal piglets,10.3389/fvets.2024.1475347,"Prevalence and genetic evolution analysis of porcine epidemic diarrhea virus and porcine circovirus type 2 in Sichuan PoRVince, China, from 2023 to 2024",,
S218,1546,"Wu et al., 2011",2011,surveillance,East,28,NA,NA,NA,NA,boar,PRRSV,PRRSV,single,independent,serum,no,yes,no,no,no,no,serological,613,NA,NA,,10.3201/eid1706.101518,"Porcine reproductive and respiratory syndrome in hybrid wild boars, China",,
S221,1526,"Wu et al., 2011",2011,surveillance,South Central,2,2,healthy,yes,no,multiple,SIV,IAV,single,independent,serum,no,yes,no,no,no,no,molecular,480,NA,NA,480 serum samples were collected,10.1111/j.1863-2378.2011.01391.x,"Serological and Virological Surveillance of Swine H1N1 and H3N2 Influenza Virus Infection in Two Farms Located in Hubei PoRVince, Central China",,
S225,5832,"Xiao et al., 2012",2012,surveillance,North,5,5,NA,NA,NA,fattening_pig,HEV,HEV,single,independent,serum,no,yes,no,no,no,no,serological_molecular,332,NA,NA,A total of 245 serum samples were collected from adult swine fed with complete feed. Fifty-six fecal samples were collected from younger pigs.,10.1371/journal.pone.0033480,Prevalence of hepatitis E virus in swine fed on kitchen residue.,,
S228,629,"Xie et al., 2021",2021,surveillance,South Central,20,11,healthy_diseased,yes,yes,multiple,PPgV,PPgV,single,independent,serum,no,yes,no,no,no,no,molecular,339,NA,NA,,10.1007/s12250-020-00240-3,"The Prevalence, Genetic Characterization, and Evolutionary Analysis of Porcine Pegivirus in Guangdong, China",,
S232,32,"Xu et al., 2024",2024,surveillance,Southwest,125,NA,diseased,no,yes,multiple,PEDV,PEDV,single,independent,feces_intestines,yes,no,no,yes,no,no,molecular,478,NA,farm-scale info available,A total of 478 clinical samples (fecal and intestinal samples) from diarrheal pigs (assumed composite samples/pig),10.1038/s41598-024-80844-x,Prevalence and genetic diversity of porcine epidemic diarrhea virus in Southwest China during 2020-2022,,
S234,2161,"Xue et al., 2018",2018,surveillance,East,10,10,diseased,no,yes,multiple,PoRV,PoRV,single,independent,feces,yes,no,no,no,no,no,molecular,226,NA,NA,fresh feces collected from suckling and weaning pigs ,10.4149/av_2018_216,Diversity of group A?rotavirus of porcine rotavirus in Shandong PoRVince China.,,
S236,1693,"Yan et al., 2008",2008,surveillance,East,23,6,NA,NA,NA,fattening_pig,HEV,HEV,single,independent,feces,yes,no,no,no,no,no,molecular,480,NA,NA,480 swine faecal specimens were obtained from 23 swine farms,10.1186/1751-0147-50-12,Prevalence of four different subgenotypes of genotype 4 hepatitis E virus among swine in the Shanghai area of China.,,
S238,546,"Yang et al., 2021",2021,surveillance,East,3,NA,diseased,no,yes,piglet,PCLV,PCLV,single,independent,feces,yes,no,no,no,no,no,molecular,140,NA,NA,A total of 140 clinical samples from diarrheic and non-diarrheic adult pigs and piglets,10.3390/v13112282,Epidemiology and evolution of emerging porcine circovirus-like viruses in pigs with hemorrhagic dysentery and diarrhea symptoms in central china from 2018 to 2021,,
S241,994,"Yang et al., 2018",2018,surveillance,East,29,NA,healthy_diseased,yes,yes,multiple,PTV,PTV,single,independent,feces,yes,no,no,no,no,no,molecular,352,NA,NA,"121 were obtained from pigs aged 5–70 days with a history of diarrhoea, and the remaining 231 samples were collected from pigs ranging in age from 5 to 140 days without clinical signs of diarrhoea",10.1111/tbed.12728,"Epidemiology and molecular characterization of Porcine teschovirus in Hunan, China",,
S243,447,"Yao et al., 2022",2022,surveillance,Southwest,573,NA,NA,NA,NA,multiple,PRV,PRV,single,independent,serum,no,yes,no,no,no,no,molecular,"20,158",NA,NA,"10, 25-30, and 50-60 serum samples were collected from each small (<100 sows), medium (100~500 sows), and large-scaled pig farm (>500 sows), respectively",10.3390/v14050895,Epidemiological Investigation and Genetic Analysis of Pseudorabies Virus in Yunnan PoRVince of China from 2017 to 2021,,
S247,5770,"Yu et al., 2013",2013,surveillance,South Central,NA,NA,healthy,yes,no,nursery_pig,PLV,PLV,single,independent,feces,yes,no,no,no,no,no,molecular,180,NA,NA,A total of 180 porcine fecal specimens were collected from healthy piglets less than 30 days old,10.1371/journal.pone.0070137,Identification of a novel picornavirus in healthy piglets and seroepidemiological evidence of its presence in humans.,,
S249,2059,"Yu et al., 2022",2022,surveillance,South Central,NA,NA,healthy,yes,no,NA,Multiple,"CSFV, PRRSV",single,independent,serum,no,yes,no,no,no,no,serological,1460,NA,NA,,10.24425/pjvs.2022.142020,"Seroprevalence of antibodies to classical swine fever virus and porcine reproductive and respiratory syndrome virus in healthy pigs in Hunan PoRVince,  China.",,
S250,2382,"Yu et al., 2009",2009,surveillance,Multiple,NA,NA,healthy,yes,no,NA,SIV,IAV_H1N1,single,independent,serum,no,yes,no,no,no,no,serological,717,NA,NA,,10.1016/j.virusres.2008.11.008,Further evidence for infection of pigs with human-like H1N1 influenza viruses in China.,,
S253,2905,"Yu et al., 2020",2020,surveillance,East,17,NA,NA,NA,NA,NA,SIV,IAV_H1N1,single,independent,serum,no,yes,no,no,no,no,serological,692,NA,NA,,10.1111/tbed.13360,"A novel reassortant influenza A (H1N1) virus infection in swine in Shandong PoRVince, eastern China.",,
S254,38,"Yuan et al., 2024",2024,surveillance,South Central,NA,NA,diseased,no,yes,NA,Multiple,"PRRSV, PCV2, PCV3",single,independent,tissues,no,no,yes,no,no,no,molecular,226,NA,NA,A total of 226 tissue samples from pigs suspected of being infected with PRRSV,10.3390/v16111687,"Epidemiologic Investigation and Genetic Variation Analysis of PRRSV, PCV2, and PCV3 in Guangdong PoRVince, China from 2020 to 2022",,
S256,197,"Zang et al., 2023",2023,surveillance,Multiple,NA,NA,healthy_diseased,yes,yes,multiple,PKoV,PKoV,single,independent,intestines,no,no,no,yes,no,no,molecular,324,NA,NA,A total of 324 intestinal samples (duodenum or jejunum based on the availability of clinical samples) were submitted to our laboratory from six provinces of China,10.3390/ani13193129,Epidemiologic and Genomic Characterizations of Porcine Kobuviruses in Diarrheic and Healthy Pigs,,
S262,1950,"Zhai et al., 2016",2016,surveillance,South Central,15,4,NA,NA,NA,multiple,PDCoV,PDCoV,single,independent,feces,yes,no,no,no,no,no,molecular,390,NA,NA,see Table 1,10.1186/s12985-016-0591-6,Occurrence and sequence analysis of porcine deltacoronaviruses in southern China.,,
S263,3299,"Zhai et al., 2017",2017,surveillance,South Central,NA,NA,NA,NA,NA,NA,SIV,Influenza D,single,independent,nasal swabs,no,no,no,no,yes,no,molecular,19,NA,NA,36.8% (7/19) for pigs,10.3201/eid2308.170059,"Influenza D Virus in Animal Species in Guangdong PoRVince, Southern China.",,
S268,5325,"Zhang et al., 2022",2022,surveillance,North,299,NA,diseased,no,yes,multiple,PRV,PRV,single,independent,serum,no,yes,no,no,no,no,serological,3449,vaccinated,NA,,independent,693 clinical cases of suspected PRV infection,10.3389/fvets.2022.930871,"Epidemiological investigation of porcine pseudorabies virus in Hebei PoRVince, China, 2017-2018."
S274,2006,"Zhang et al., 2019",2019,surveillance,South Central,NA,NA,diseased,no,yes,NA,PDCoV,PDCoV,single,independent,feces_intestines_serum,yes,yes,no,yes,no,no,molecular,641,NA,seasonal data available,143 faecal samples and 287 intestinal samples) were collected from pigs with diarrhea outbreaks,10.1016/j.prevetmed.2019.02.017,"Prevalence, phylogenetic and evolutionary analysis of porcine deltacoronavirus in Henan PoRVince, China.",,
S275,1089,"Zhang et al., 2017",2017,surveillance,Southwest,NA,NA,NA,NA,NA,NA,HEV,HEV,single,independent,serum,no,yes,no,no,no,no,serological,453,NA,IgG antibody,,10.1016/j.actatropica.2017.04.033,"Seroprevalence and risk factors associated with hepatitis E virus infections among people and pigs in Tibet, China",,
S276,536,"Zhang et al., 2021",2021,surveillance,North,228,NA,NA,NA,NA,multiple,PRV,PRV,single_pooled,independent,serum_tissues,no,yes,no,no,no,no,serological,"23,627",vaccinated,NA,"Blood samples for this study were randomly collected from boars, sows, replacement pigs, nursery pigs, and fattening pigs",10.1089/vim.2021.0069,"Epidemiology of Porcine Pseudorabies from 2010 to 2018 in Tianjin, China",,
S277,1325,"Zhang et al., 2014",2014,surveillance,Southwest,NA,NA,NA,NA,NA,NA,BDV,BDV,single,independent,serum_tissues,no,yes,yes,no,no,no,serological_molecular,360,NA,NA,,10.1007/s00705-013-1971-5,Evidence for natural Borna disease virus infection in healthy domestic animals in three areas of western China,,
S280,1060,"Zhang et al., 2017",2017,surveillance,Multiple,NA,NA,NA,NA,NA,NA,PEDV,PEDV,single,independent,feces_intestines,yes,no,no,yes,no,no,molecular,116,NA,NA,A total of 110 diarrheal fecal samples and 6 intestinal contents samples (assumed composite samples/pig),10.1186/s12985-017-0860-z,Detection and phylogenetic analyses of spike genes in porcine epidemic diarrhea virus strains circulating in China in 2016-2017,,
S282,2363,"Zhang et al., 2008",2008,surveillance,East,39,NA,NA,NA,NA,multiple,HEV,HEV,single,independent,serum,no,yes,no,no,no,no,serological_molecular,364,NA,IgG antibody (788 samples),,10.1111/j.1863-2378.2008.01136.x,Hepatitis E virus infection among domestic animals in eastern China.,,
S288,2532,"Zhang et al., 2014",2014,surveillance,East,NA,NA,diseased,no,yes,nursery_pig,TTV ,"PRRSV, TTSuV",single,independent,tissues,no,no,yes,no,no,no,molecular,2384,NA,dead piglets included,2384 infected pigs displaying clinical symptoms (such as respiratory signs and fever) were collected ,10.1016/j.vetmic.2014.05.008,Detection and distribution of torque teno sus virus 1 in porcine reproductive and respiratory syndrome virus positive/negative pigs.,,
S289,5835,"Zhao et al., 2012",2012,surveillance,East,NA,NA,NA,NA,NA,NA,SIV,Avian-origin IAV H1N1,single,independent,nasal_swabs,no,no,no,no,yes,no,molecular,152,NA,NA,"1,030 nasal swab samples were randomly collected from healthy pigs",10.1007/s11262-011-0704-7,"Isolation and phylogenetic analysis of avian-origin European H1N1 swine influenza viruses in Jiangsu, China.",,
S291,256,"Zhao et al., 2023",2023,surveillance,Multiple,NA,NA,NA,NA,NA,NA,JEV,JEV,single,independent,serum,no,yes,no,no,no,no,molecular,3105,NA,NA,,10.3390/v15030625,Molecular Detection and Genetic Characterization of Japanese Encephalitis Virus in Animals from 11 PoRVinces in China,,
S292,3104,"Zhao et al., 2012",2012,surveillance,East,NA,NA,NA,NA,NA,NA,SIV,IAV pmd09-H1N1,single,independent,nasal_swabs,no,no,no,no,yes,no,molecular,54,NA,NA,A total of 1029 nasal swab samples were collected randomly from healthy pigs ,10.1016/j.rvsc.2011.06.009,Isolation and phylogenetic analysis of pandemic H1N1/09 influenza virus from swine in Jiangsu PoRVince of China.,,
S300,2732,"Zhao et al., 2024",2024,surveillance,Multiple,NA,NA,diseased,no,yes,NA,PRRSV,PRRSV,single,independent,tissues,no,no,yes,no,no,no,molecular,365,NA,annual serological data available,"The sample types included hearts, livers, spleens, lungs, kidneys, brains, intestines and lymph nodes, and each sample was from a different pig. ",10.1016/j.micpath.2024.107024,Molecular detection and genetic characteristics of porcine reproductive and respiratory syndrome virus in central China,,
S302,774,"Zheng et al., 2020",2020,surveillance,South Central,NA,NA,diseased,no,yes,NA,PCV2,PCV2,single,independent,tissues,no,no,yes,no,no,no,molecular,117,NA,NA,"A total number of 117 clinical samples (lung, lymph node, tonsil and spleen) were collected. Tissue samples were homogenized.",10.1186/s12917-019-2193-1,"Phylogenetic analysis of porcine circovirus type 2 (PCV2) between 2015 and 2018 in Henan PoRVince, China",,
S303,573,"Zheng et al., 2021",2021,surveillance,South Central,NA,NA,healthy_diseased,yes,yes,NA,PRV,PRV,single,independent,serum,no,yes,no,no,no,no,molecular,4708,NA,NA,,10.1016/j.meegid.2021.104835,Seroprevalence investigation and genetic analysis of pseudorabies virus within pig populations in Henan PoRVince of China during 2018â€“2019,,
S305,4099,"Zhenhui et al., 2015",2015,surveillance,Southwest,NA,NA,diseased,no,yes,multiple,TGEV,"TGEV, PDCoV",single,independent,feces,yes,no,no,no,no,no,molecular,32,NA,NA,"Thirty two samples of faeces were collected from 
sick piglet",https://www.ijvm.org.il/sites/default/files/zhenhui.pdf,"Isolation and Identification of a New Strain of Porcine Transmissible Gastroenteritis Virus from Chongqing, Southwestern China",,
S306,691,"Zhou et al., 2020",2020,surveillance,Northeast,311,NA,NA,NA,NA,multiple,PRV,PRV,single,independent,serum,no,yes,no,no,no,no,serological_molecular,"18,815",NA,NA,,10.1089/vim.2020.0025,Prevalence of Porcine Pseudorabies Virus and Its Coinfection Rate in Heilongjiang PoRVince in China from 2013 to 2018,,
S308,2329,"Zhou et al., 2006",2006,surveillance,East,44,44,NA,NA,NA,multiple,PCV2,PCV2,single,independent,serum,no,yes,no,no,no,no,serological,2062,NA,NA,,10.1007/s11259-006-3203-x,Serological investigation and genomic characterization of PCV2 isolates from different geographic regions of Zhejiang PoRVince in China.,,
S309,885,"Zhou et al., 2019",2019,surveillance,South Central,11,11,diseased,no,yes,NA,SADS-CoV,SADS-CoV,single,independent,feces,yes,no,no,no,no,no,molecular,170,NA,NA,A total of 236 clinical diarrhoea samples including faeces and intestinal contents were collected from piglets and sows,10.1111/tbed.13008,Retrospective detection and phylogenetic analysis of swine acute diarrhoea syndrome coronavirus in pigs in southern China,,
S310,1330,"Zhou et al., 2014",2014,surveillance,Southwest,NA,NA,diseased,no,yes,multiple,PToV,PToV,single,independent,feces,yes,no,no,no,no,no,molecular,872,NA,NA,A total of 872 fecal samples were collected from pigs with diarrhea ,10.1186/1743-422X-11-106,"Molecular epidemiology of Porcine torovirus (PToV) in Sichuan PoRVince, China: 2011-2013",,
S316,3552,"Zhu et al., 2012",2012,surveillance,East,NA,NA,diseased,no,yes,nursery_pig,PRRSV,PRRSV,single,independent,tissues,no,no,yes,no,no,no,molecular,25,NA,dead piglets,"TTSuV were detected by nested polymerase chain reaction (PCR) in different samples from 25 sick pigs (1.5–5 months old), ",10.1016/j.virusres.2012.02.007,Molecular detection of Torque teno sus virus from tissues samples of sick pigs in China.,,
